evolution$generation,growthRate,innovationWeight,gravityDecay,innovationDecay,innovationUtility,innovationUtilityGrowth,earlyAdoptersRate,newInnovationHierarchy,newInnovationPopulationProportion,mselog,logmse,evolution$samples
55760,0.02629073587711463,1.7179566587815245E-4,9.151539444454396,19587.751622647236,1.0060179128375757,1.0,0.012178734840142771,4.99699885525143,0.11528962596787332,47.4894767286732,32.15349491965891,3
55760,0.025960581472400795,1.845136215385051E-4,14.024167922066846,18374.27970291972,1.4716153775949905,1.0027588590081236,0.023698667430769794,4.370211578937297,0.1594950016859199,47.67466266099797,32.151421328853765,28
55760,0.026283427023434936,1.715583752970818E-4,10.529860476770702,19781.561147400153,1.0931838318669813,1.0054694562827435,0.011342191199832015,5.0,0.1009167391959767,47.49398197698004,32.153363343021155,13
55760,0.026201759397814203,1.755225740820188E-4,12.290181514628651,17596.417504649937,1.0661193322376576,1.0,0.014407786304931364,3.8700679499364665,0.10598025815633394,47.53393737053825,32.1526435170528,6
55760,0.025919719077871724,1.8616862268149226E-4,14.354927892461054,15874.942757376604,2.9380328601745043,1.003452983458092,0.024651128588685983,4.965945867631182,0.1,47.702517607144614,32.15133577850906,3
55760,0.025904216221913086,1.866341164843497E-4,13.98082968707848,18166.789893155077,1.2926707314227968,1.0297020959465593,0.010002836748063541,4.419908232010523,0.1067555045722587,47.71271354253105,32.1513152849027,10
55760,0.026102732468211723,1.793395047271192E-4,13.89948052534792,19318.321721992477,1.3340166891244092,1.1394788733460974,0.09441806563787933,4.73997069749196,0.20689931800488096,47.58804683644286,32.151985256147675,5
55760,0.026307554057008062,1.7194232738056964E-4,11.430445125291543,19973.10418099443,1.0,1.0098707518876868,0.010035651906136837,4.934272403551995,0.10707303580931146,47.48470429131884,32.153580224619105,3
55760,0.02627362419388923,1.7248328342338925E-4,10.826394532641515,19990.232933582498,1.0,1.006884560240576,0.010529107479748653,4.997791060634014,0.10083287583558853,47.49863570134361,32.15326707995329,5
55760,0.02607705833297466,1.7995789561117573E-4,14.394577427899188,19346.109562498637,1.3092232010443696,1.4808665703992103,0.10772213204445827,4.3215339002555035,0.11651245372640356,47.603290691496994,32.15186635258253,14
55760,0.026210578725808748,1.7549551783963157E-4,12.10464302555274,17567.877228624522,1.057367117557103,1.001143908509901,0.01303151567145212,3.8752436207070606,0.10467608441763,47.52941443821872,32.152719540371024,4
55760,0.0260164263132142,1.8246560210336912E-4,14.181550196541822,19538.12746015762,1.4049549953396414,1.2371200840695236,0.08349741526749752,4.333752446350034,0.11226991596101066,47.639269814779965,32.15159377042728,1
55760,0.025983037913097775,1.8422386547770373E-4,14.392330000831604,13816.966387530912,3.0,1.0,0.017569516242662495,4.977819896537572,0.10084124371974597,47.66058208909918,32.151484550265515,16
55760,0.026344939142466606,1.6815061969288844E-4,0.1,16837.453354527268,1.0,1.0232286634457106,0.039665048152288586,4.559206021891291,0.11085648942377237,47.46408657793549,32.15415251289804,5
55760,0.026587016119679147,1.6029710315851748E-4,0.965814611812601,19397.836427090697,1.0104907048698928,1.4415869361066784,0.013345178335287498,4.339410016628442,0.147196699851594,47.388443219749824,32.157255987534874,4
55760,0.026035143765436093,1.8187706332755562E-4,12.819740639078484,19994.607519071225,1.851053138428333,1.219969601437989,0.1232878823920085,4.2703877877064444,0.11348628204261574,47.62603860999136,32.15167787905642,3
55760,0.026605767427368587,1.600254917313947E-4,1.2390825937248267,19114.057929640006,1.009163260084637,1.416425451072171,0.0164288588274046,4.330864217255068,0.14552359439385773,47.384270296590984,32.15756002837892,1
55760,0.02598779120686455,1.832057568743062E-4,13.289675618946859,19381.647528795773,1.4247330102945188,1.2187150958195225,0.09263268487058869,4.339141855387266,0.11451053977298298,47.65608548016295,32.15149784119648,19
55760,0.026023019414797288,1.8198343692482714E-4,13.899313867751065,19668.282660316923,1.4128393802466572,1.239164869176228,0.08050918498335195,4.351133160961243,0.11131997454946588,47.63482778970334,32.15162130801167,4
55760,0.026644676385593744,1.5714125828003873E-4,1.2676151849021902,19128.759929089934,1.072646097782316,1.000630592421875,0.01863203029851398,4.680903230574483,0.13969901208530072,47.376131221588494,32.158172106100004,9
55760,0.025886814130558346,1.8727278130374505E-4,14.334768891035417,18723.34774647172,1.4209542140990992,1.0262281501639303,0.01260537695690967,4.721521180051972,0.13460083774313816,47.72539780177595,32.15129347306427,9
55760,0.026914621652768145,1.441863356210096E-4,0.47097129672497773,19051.741131313276,1.0,1.396999577171445,0.016832821276695734,4.827625977408615,0.10129084492237306,47.34811889903542,32.16368858805312,1
55760,0.02662500627553683,1.586225514051374E-4,1.9654248673453023,19105.24618424389,1.1163126038621702,1.3823480200002352,0.0184440321388402,3.914544630645118,0.1,47.380136339965055,32.15785338999611,1
55760,0.026238704457201625,1.7385377954057992E-4,11.883349068136202,19444.75671803809,1.229464672436023,1.0547131570414483,0.01,4.994276988790984,0.10003886079576041,47.51572520895215,32.152940013334494,3
55760,0.026263745841653398,1.7309947129957726E-4,10.72103860647884,19833.020217654805,1.0030605909259134,1.016493407109,0.010727071503394539,5.0,0.10729961127795759,47.50294340436595,32.15318838779861,2
55760,0.026253602843173837,1.7328761543541386E-4,10.424027190763143,19688.269113666174,1.054476427252946,1.0141281030194238,0.010482306566708236,4.957602665372613,0.108762132350144,47.507215559041235,32.153109335771546,1
55760,0.026761192619202928,1.5076821355460455E-4,0.21867301684070528,19941.6240744732,1.9965211755883516,1.010363546689069,0.21863370511144659,4.982441859726147,0.1,47.35801971076822,32.160375594482645,8
55760,0.0264257947210659,1.6561504255787767E-4,0.16645694993796473,19975.571861003362,1.0689864593439478,1.2743805003375441,0.010595539050215888,4.311930858163661,0.1,47.43441052831634,32.155039932194356,8
55760,0.026316688339753216,1.719829314614967E-4,10.951903039586613,20000.0,1.0011603039408132,1.0094895306971134,0.01,4.95374267921947,0.10735829886505785,47.48038824933827,32.15370171672806,2
55760,0.0260078679237859,1.8211421622602202E-4,13.659503871499362,19310.835891954936,1.416019468497517,1.2090865575160064,0.08529865904973437,4.34357856018819,0.11344765471344434,47.64389346149804,32.151568314083136,8
55760,0.02641364966926843,1.6547062010327887E-4,0.10688394361713147,20000.0,1.0908426735646322,1.2752215042187955,0.01,4.310824378478482,0.10351280432735285,47.43856152648641,32.154898057203994,2
