evolution$generation,growthRate,innovationWeight,gravityDecay,innovationDecay,mselog,logmse,evolution$samples
2000,0.01017673940392726,0.00544246452369046,3172.63622028281,9396.808205374555,28301.85097816001,45.63239191943497,11
2000,0.03587583426359468,0.0,17048.587779035857,1391.6491657325807,24966.25869543477,28.42266977125641,3
2000,0.042902703646356365,0.012250104897820264,6989.881786386656,3527.343193877986,24599.1319182031,52.963881108706666,11
2000,0.05,0.0,16658.833433732903,866.4605377549491,23635.223518007853,31.06508538914146,1
2000,0.04268371739582852,0.0,17407.610330638556,3435.6073377676994,24291.748067120807,29.707881538768124,1
2000,0.026599103318491354,1.8435997120807188E-4,2587.7283018832727,1405.2915531392896,25997.362412703656,29.083059366708994,6
2000,0.012477726817385116,0.002967722276857341,16008.549139894294,17294.557258809222,27895.121499651963,40.33720829692507,8
2000,0.03504516966125627,0.0060123444140511295,2991.47259271135,3912.580369301356,25199.64205895578,46.70139253169049,7
2000,0.035589015558408495,0.0,17575.66911407127,1906.3793680167266,24996.137156763692,28.42543885555202,4
2000,0.04109962362947546,2.0054574642505524E-9,11070.065750447458,2868.8104626444238,24442.943463227246,29.336975667434483,2
2000,0.037713976732518285,3.865262064648572E-9,16026.301528469075,2863.7559159715697,24777.66214073511,28.5860814351961,1
2000,0.037805791809078934,4.172499185510813E-9,15663.085355838433,2809.0071635946283,24768.370994383735,28.601371089461125,1
2000,0.03990414735429486,0.0,1471.3957721684972,20000.0,24559.30332507509,29.049183807935343,1
2000,0.03600026216747729,0.0,17360.707896344273,4558.143398226161,24953.334996037385,28.423933244108284,3
2000,0.04728845681772381,4.838930691953586E-9,0.1,17545.222572025214,23870.805027271803,30.626334747923448,2
2000,0.036723901200492605,0.0,11315.283785487287,1284.5620845706283,24878.62928277371,28.460851413752756,1
2000,0.042587967641237214,0.0,17409.00591389658,4109.793118687388,24300.791702116232,29.6861496860188,1
2000,0.04881213061014274,0.0,10832.310772881032,0.1,23737.342679737445,30.880597675803422,1
2000,0.04452605162747309,0.0,17291.868599965448,3313.45051997292,24120.079887191816,30.10496907925523,1
2000,0.04870817152918462,0.0,0.1,18311.09744870275,23746.359683412276,30.86390358855605,1
2000,0.04027906004005666,0.0,18005.053683983664,1725.9535098261902,24522.59996509766,29.139119780122847,3
2000,0.04285005682369511,0.0,0.1,14147.801897407577,24276.066047932145,29.74538919393974,2
2000,0.045640364956277116,0.0,8872.984808836745,4281.3578900543225,24018.372339416714,30.325445162565558,1
2000,0.0424976909630082,0.0,13774.299660305134,4344.204639022344,24309.329541645653,29.665567211845993,3
2000,0.04019438395807859,0.0,20000.0,1957.5784013065934,24530.87261133637,29.11873639355193,3
2000,0.040000560346723946,0.0,6469.413585209416,6125.1755633084285,24549.84604164394,29.072221796427062,2
2000,0.037618420107182145,0.0,16012.838145130596,2517.719675763109,24787.344831833452,28.57072792972918,4
2000,0.04808137877259391,2.524690638682418E-9,11493.404964059782,0.1,23801.00030269344,30.761260056763234,1
2000,0.044224251355940776,0.0,18830.160158823375,1979.9611377779245,24147.89944861639,30.042723887241007,1
2000,0.04137045319200305,0.0,17647.488539284688,1605.7833014065477,24416.854369317414,29.401810068007475,2
2000,0.041200148887223446,2.101020908014043E-11,9688.396746943028,1565.070970065864,24433.248204794465,29.361075819431512,1
2000,0.04168817303046155,0.0,17202.303773572738,4312.473460200932,24386.374958606026,29.477282303758557,3
2000,0.03981756961703285,0.0,116.86701773512985,20000.0,24567.806860836543,29.028567854674566,2
2000,0.046892819730263734,2.6251164535497912E-9,2847.4852765321107,18525.221210704134,23905.92245941021,30.556653755540086,1
2000,0.04309345760868035,0.0,2902.1164166046715,17594.312343500977,24253.184735838808,29.79969882368953,1
2000,0.04212959224895821,0.0,2927.0599414303424,14279.069714089766,24344.254445471888,29.580745382248335,1
2000,0.041273102796802366,2.0233897618963427E-9,11079.320682221285,2426.2605931127628,24426.220703141338,29.378565442709352,2
2000,0.039317491874981854,0.0,7604.018999207087,6284.482149488089,24617.128362602245,28.911407575505887,1
2000,0.04891081764171223,0.0,0.1,20000.0,23728.79490898091,30.896360569620164,1
2000,0.04952861369113783,0.0,243.69972359251415,18695.0461109843,23675.5479922514,30.99321619545395,3
2000,0.04463427262531569,0.0,17444.77255203125,3998.6142327901143,24110.132731337177,30.1270224435813,1
2000,0.0422937147134522,0.0,63.29690721585428,14619.917547343512,24328.660325406392,29.618738570208823,2
2000,0.04160043966452755,1.7099329460621707E-9,9270.0722629978,2377.9256103620496,24394.77775266025,29.456533488863666,1
2000,0.044134073102747834,0.0,16073.260471999556,4088.082690024764,24156.23474485902,30.023911384249274,1
2000,0.046657933988898746,8.46876646986734E-9,6289.061794754756,16376.818689061114,23926.862679788188,30.514605141425626,2
2000,0.04405062344581606,0.0,13460.292098622404,2.9435140992730875,24163.957470814443,30.006414731608718,3
2000,0.03789690736248845,0.0,16220.130153846823,1712.1468857799098,24759.162643582513,28.617029587864092,1
2000,0.045727636738088384,9.066201452788082E-9,14630.757369781952,4853.600408884199,24010.473226689744,30.342174294731265,1
2000,0.038041438414886,0.0,14266.406514061418,0.1,24744.58050193601,28.642925426587162,1
2000,0.04520570534962722,0.0,7497.642828341632,19504.375588759303,24057.857596300142,30.24116528818867,1
2000,0.03812138174321633,0.0,15576.370091373641,2488.2840739636667,24736.527680450665,28.657749803855875,1
2000,0.042758507586259445,0.0,18818.912515444215,5592.107621541845,24284.692527071962,29.72478477573849,1
2000,0.036353682538907924,0.0,17242.498522939368,0.1,24916.75249538857,28.435714050313887,1
2000,0.04220729221255699,0.0,4704.341127311968,15199.45207253093,24336.86728847195,29.59876640415643,2
2000,0.03714724233924612,0.0,12968.493391537491,1998.6415544886654,24835.282495952946,28.504773204253453,2
2000,0.04294261966493832,0.0,3529.815989357193,17013.8855606371,24267.355314309323,29.766123825339275,2
2000,0.04203488694038991,0.0,20000.0,5905.555465849159,24353.26926700239,29.55869970082478,1
2000,0.04977085468488504,0.0,10633.646825644148,186.23317813557367,23654.792953370248,31.03036268409975,1
2000,0.04056332109027552,0.0,20000.0,5243.114610027101,24494.900660631738,29.207695548541977,3
2000,0.040662022839159956,0.0,11059.220610681485,2302.8914975143807,24485.308837341323,29.23152480520404,2
2000,0.04615603275197621,0.0,6346.8850943531415,16950.87056333993,23971.836783031213,30.4226769282509,1
2000,0.04745746273994706,0.0,5861.816219333048,20000.0,23855.862299395245,30.6555418145017,1
2000,0.04818872779470471,0.0,10633.079689798144,504.65492165737317,23791.60856137413,30.779086913411955,1
2000,0.04984960190561258,0.0,603.8881147621634,19582.15267731896,23648.06083597948,31.04234044826556,2
2000,0.0458164574105268,0.0,16470.229507700733,4459.039542553007,24002.44364660388,30.358979508043507,1
2000,0.047995676470210434,0.0,11887.824441643435,4284.403914450444,23808.50824031814,30.746952831538874,1
2000,0.046254710398625436,0.0,6099.027489744129,17212.613010988356,23962.969744536735,30.440951114052783,1
2000,0.043190053825370785,0.0,11039.281165113216,1199.9171797826637,24244.125660147714,29.82105959582051,2
2000,0.03922521182594528,0.0,0.1,20000.0,24626.268003834448,28.890265502017908,1
2000,0.03754631216234006,0.0,18085.13712199284,0.1,24794.660226387154,28.559575275403628,1
2000,0.04738672570541089,0.0,15693.857260336688,326.07910823655476,23862.112273398747,30.64332298841706,1
2000,0.03612095042714247,0.0,17713.83117733748,1984.1959181357424,24940.821727287377,28.42659496349126,2
2000,0.04353532406043056,0.0,7225.822324231346,19738.283361262467,24211.845245232067,29.896500842877554,1
2000,0.03692620352403707,0.0,19415.817079564145,2269.557488086546,24857.882396569188,28.479901264461905,1
2000,0.04755944900521296,0.0,5938.47706819774,20000.0,23846.86206480748,30.673073616219394,1
2000,0.04037220248157796,0.0,20000.0,1790.2664472972313,24513.511607734705,29.161571137496313,2
2000,0.0415204073578234,0.0,20000.0,0.1,24402.452013098686,29.437523096132615,2
2000,0.03826228527307461,0.0,17388.547072224872,1009.7950196333105,24722.356533029757,28.684688076292666,2
2000,0.03681493432807923,0.0,20000.0,2259.3167561922187,24869.28605536867,28.4689722856713,1
2000,0.047186909329749414,9.675463113941397E-11,8857.292187527732,4292.333101718201,23879.800169766557,30.608544588187865,1
2000,0.03796398961968041,0.0,19536.762929016004,0.1,24752.390793608793,28.628899573537176,2
2000,0.03909114521530123,0.0,77.98368342968763,16536.775181624493,24639.56762590733,28.85989363510786,3
2000,0.04362024121998612,0.0,13886.625581956128,0.1,24203.929951339665,29.914835342511743,2
2000,0.037011143285083765,0.0,15910.568503826235,2018.5026603730246,24849.18936623178,28.488970041630417,1
2000,0.041447460397970454,0.0,10125.276891377041,2427.8271161610573,24409.45440779073,29.42016947829792,1
2000,0.038670506760847774,0.0,0.1,20000.0,24681.460320657443,28.767853169406397,1
2000,0.04845072610083402,0.0,13283.773166389123,3496.7614826076597,23768.745256634505,30.822162604266694,3
2000,0.04914469558598136,0.0,15546.237265421625,6810.714790570533,23708.58397546633,30.933392678606072,1
2000,0.04301493019976404,0.0,4412.2240274527285,16050.79554514542,24260.55830983138,29.782252640343337,4
2000,0.038197589954623606,0.0,11515.213927955188,1290.7715779793298,24728.859632274343,28.672195142532328,1
2000,0.04770160982244929,0.0,5995.355066841403,19104.091806848453,23834.337624114225,30.69734596275878,2
2000,0.047907684400613826,0.0,10702.97097375504,0.1,23816.226025729633,30.732193324327525,6
2000,0.041000817894122084,0.0,12745.101538727586,2401.8622828437647,24452.486270728365,29.313204162882705,1
2000,0.045111173385963745,0.0,20000.0,734.7381088032223,24066.47673865423,30.222547538918466,2
2000,0.044443393563043054,0.0,17285.19057796565,1755.5354380024296,24127.687547853755,30.088030305143832,2
2000,0.048550121357324436,0.0,0.1,20000.0,23760.093142481914,30.838346125921408,2
2000,0.03706758521170155,0.0,19842.040881768593,2274.780958615378,24843.41873643139,28.495336201706333,1
2000,0.044316290713253555,0.0,16233.138879780301,4502.830194302282,24139.402949309882,30.0618231382358,4
2000,0.049234189144994424,0.0,1722.6893718657723,18167.92113194482,23700.867468066946,30.947444046353578,1
2000,0.04861115736117698,0.0,16968.029143687432,4894.631156676814,23754.785987944997,30.848241450561527,1
2000,0.04189968070398927,0.0,3296.324665303093,20000.0,24366.16011881705,29.527078046717932,2
2000,0.04900135232107045,0.0,10564.360095305974,0.1,23720.96347900802,30.910749554813407,1
2000,0.039572230347407006,0.0,1539.9260993049918,19803.771546760894,24591.960428091443,28.97061575039127,1
2000,0.043461197236953776,0.0,16269.08666525217,4702.698440430915,24218.762446519504,29.880424886731173,1
2000,0.04553677918743651,0.0,18675.002795890876,2799.660724787572,24027.76058323867,30.305555726291892,4
2000,0.04608472528043039,0.0,16784.3720336722,5942.939002804357,23978.251945541546,30.409405846928646,1
2000,0.04657571333476038,0.0,11825.76326403152,2069.08688621176,23934.208771648686,30.49967863653385,1
2000,0.04325418569275194,0.0,4139.456475212107,15896.975892892673,24238.11795576164,29.835180245320814,2
2000,0.04698333700240486,4.778748169622432E-9,0.1,16961.90803375053,23897.87100527946,30.57277230096418,1
2000,0.046006297439788124,0.0,6068.473498576896,16544.09371417815,23985.315035370786,30.39474560739032,1
2000,0.03916557061464047,0.0,12740.25578026514,1822.7069677618192,24632.181383363717,28.876701316994062,3
2000,0.04528491438656963,0.0,4539.319990308919,20000.0,24050.64428767774,30.25668537181724,1
2000,0.03877479777233907,3.774828639359295E-9,14552.36340570301,5324.227862093275,24671.050312427935,28.79018507787403,1
2000,0.03834336081682434,0.0,20000.0,0.1,24714.21536084122,28.700628770269713,1
2000,0.03747110405290976,0.0,19333.022706084397,0.1,24802.298155943292,28.548333485046097,4
2000,0.03664340691403091,0.0,16988.521104649008,1870.6230865924565,24886.900993080955,28.454298137550918,1
