evolution$generation,growthRate,innovationWeight,gravityDecay,innovationDecay,mselog,logmse,evolution$samples
8000,0.036954794674785824,4.5085148636430955E-5,17027.531457750898,17891.130168142394,1229.0166482846396,32.956525136722476,3
8000,0.0338966025592591,9.59593865050388E-5,19955.566329253965,17607.462870662734,1071.2588560772078,32.9805348671819,1
8000,0.027490371731277198,5.2407991637705924E-5,0.1,12030.314359731108,827.8270751455094,33.03943024227067,3
8000,0.03573033831994054,6.145784315610359E-5,17953.900372526386,15014.057563713553,1162.613084772429,32.964429211147525,1
8000,0.03592094514210059,5.7883459601187025E-5,16946.889734921693,18168.774410396018,1172.6464009444023,32.96308455578928,2
8000,0.02633765370207089,5.15667366098115E-5,0.1,12012.955063804082,799.0312794069747,33.05221266069662,1
8000,0.03159659673822634,1.2723987039831486E-4,17319.999388985783,17653.431560626952,970.1189688873206,33.00719407094636,1
8000,0.023675360453900313,6.056366432367535E-5,0.1,11595.684455761646,750.6636802936857,33.094905332358834,4
8000,0.03708286848806213,4.140356591950613E-5,17013.08356670637,17712.258368097224,1236.1302112601047,32.95575608350855,1
8000,0.03613876187800745,6.0446702864686554E-5,16968.354275569942,15058.181914327552,1184.448394203816,32.9617104462518,4
8000,0.034940989437060185,7.421323616225352E-5,16579.480590920044,13770.503430430226,1122.0691238517209,32.970814388355876,1
8000,0.036904846634766286,4.1543912039544993E-5,17685.810959156795,17630.23893648659,1226.0850342389924,32.956820972845165,3
8000,0.03619729116808965,5.920555303632671E-5,17066.326802149637,15700.700486004174,1187.580543646473,32.96127262081565,1
8000,0.03566513467490269,6.043847721649287E-5,16704.422455816326,15065.109775721538,1159.1336372317007,32.96523862233017,5
8000,0.025785940385923453,5.519991411054628E-5,0.1,11824.094071628424,786.8621914013967,33.05912736021513,6
8000,0.03649714273841892,5.045578398327454E-5,19829.616088037175,14982.175768365878,1203.693892651564,32.95907568556377,1
8000,0.03508198010640127,7.256058984935202E-5,17410.245602238003,15266.52509488523,1129.20207339671,32.96954029829182,3
8000,0.03409161056762804,8.839737156890515E-5,19906.500809435613,17321.61132619345,1080.4164857216265,32.97862512313216,1
8000,0.03197442997108011,1.2046523111003032E-4,16772.014055097865,17421.96416531052,985.6103912696175,33.00254330824041,3
8000,0.03865725922241716,1.4331722211567008E-5,14221.819194857537,16751.413138540738,1327.7410239383196,32.94983814827799,2
8000,0.03402788024080818,9.159729004177307E-5,7702.357600420673,18023.69888449293,1077.4158964475869,32.979466119486574,1
8000,0.0353284026378647,6.931997285288226E-5,17096.981814448067,15607.68155199757,1141.792210707821,32.96745191943377,1
8000,0.039127198697765625,5.792616788725073E-6,19729.954323048027,19534.45722297648,1356.318032332119,32.94895779318862,6
8000,0.025385720771735544,5.739040212908783E-5,0.1,10961.245424795126,778.7252969930748,33.065346987410436,2
8000,0.034238017489272694,9.041161954634034E-5,19994.195801304322,17481.97569304772,1087.5730238400643,32.977157827815404,2
8000,0.0318942455388599,1.2142197233454425E-4,16638.94539425019,17407.597402018455,982.276187433484,33.00359661219158,6
8000,0.034529600916447085,8.110725204885896E-5,6339.780323377033,17192.355296497266,1101.620751785022,32.97457021069417,2
8000,0.029246237335110576,1.6368217625910652E-4,16732.4587216836,9347.68708949455,883.5476303745249,33.0401398344836,5
8000,0.038899629928282706,6.678044110970122E-6,19842.866649706295,19583.058146409014,1342.2837154578108,32.94941936903838,1
8000,0.03514359743569696,7.193847538232236E-5,17367.993215688275,14213.861931741636,1132.3398011350305,32.9689919758353,2
8000,0.037866336933028016,2.421054728162926E-5,16744.62990293028,16830.0812128802,1280.7704802371904,32.95242284709659,6
8000,0.02942529425557829,1.617468100133385E-4,16734.513571139112,13142.963779223475,889.5418505251662,33.03742982398215,2
8000,0.03298213729016917,1.0283606398066573E-4,11663.50756301148,18415.963632331084,1029.022759685658,32.99088126631614,2
8000,0.03218807365890593,1.226633650180263E-4,16486.304328594288,17550.703948632257,994.69535851194,32.99975421523736,2
8000,0.037968395432653824,2.7133149780715987E-5,17880.758705805765,16816.69471020805,1286.8924131879062,32.95190529736763,1
8000,0.03315463107733953,1.025809054183607E-4,20000.0,18953.183908515555,1036.8316387270381,32.98854109600103,3
8000,0.03527940343830654,7.179717455849619E-5,17335.680623954875,14187.101022470672,1139.3304427795192,32.96782822686927,1
8000,0.03123116363733693,1.3829340170331338E-4,15471.09529593202,19097.921792671543,955.6363241457916,33.012195269791896,2
8000,0.03482075055879029,7.60643148853012E-5,17407.407288147446,15927.156409474435,1116.0442389689592,32.971878802284515,5
