evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,mselog,logmse
5000,0.05,0.05,0.1,10973.942113341269,22966.63538057749,37.38217828641372
5000,0.03583599760338865,0.0,3.667369912939729,13581.889194691048,24970.401206093386,28.422582151173994
5000,0.05,0.014709387187420967,0.1,9784.275682455056,23296.697740097214,33.91501536414635
5000,0.04022318709693853,1.7480101107224734E-8,8.054792575096245,15516.943185797936,24528.057558569508,29.125972605658077
5000,0.05,0.007405401523686676,0.1,18952.9499599231,23445.597125365308,32.775027317910535
5000,0.040086698639022394,0.0,9.921217852885194,13894.868961793494,24541.40752465409,29.092864834141118
5000,0.04689883697583265,0.0,1.671311995155848,19662.770122461232,23905.38689633334,30.557706251512684
5000,0.05,0.013963135111433288,0.1,9132.111998976987,23310.24850559965,33.81271998576865
5000,0.04370403239001911,0.0,0.1,16521.98322599871,24196.128828043355,29.93284116402681
5000,0.038339423731028985,0.0,3.7717594738083244,15442.922006209921,24714.6104850024,28.69984758126272
5000,0.05,0.025144213327928273,0.1,13983.583143070278,23140.236106638487,35.158134233607754
5000,0.04675497651770083,0.0,0.1,18695.49565461426,23918.202960927563,30.532004150346975
5000,0.047628188460372006,0.0,6.918044626048474,17306.730723059565,23840.803007170492,30.684834048621646
5000,0.05,0.006893793045618883,0.1,11259.777967403892,23457.217958247504,32.68278174275268
5000,0.049924409642278574,0.022797043854723805,0.1,7576.441930544429,23174.916070544434,34.905613797334404
5000,0.05,0.01699236166986586,0.1,7008.756897764781,23256.775133717307,34.21953467771204
5000,0.05,0.008961167971885545,0.1,17199.907435005953,23410.941736423974,33.04642380041953
5000,0.036963457164526696,0.0,9.986076986898796,1946.4394457067172,24854.06843016167,28.48380232097162
5000,0.05,0.0023793126041016383,0.1,11587.903909696219,23569.55858098803,31.71962008624765
5000,0.05,0.017737837623022785,0.1,9359.263263818306,23244.86611270243,34.31047459162867
5000,0.04889597136840942,2.4308682523656176E-7,7.49964383871992,2149.2038278411233,23730.0821510306,30.896513669899914
