evolution$generation,growthRate,mselog,logmse
205,0.0029845037788073236,917.2536029301566,31.929897561942663
205,0.01174567983980962,703.5168918805399,33.24903339808502
205,0.006276930443751865,783.1968386291577,32.20890753992675
205,0.007054411356872734,761.3919294950057,32.33937287979615
205,0.0058987484066499556,795.1270938637774,32.1517835872176
205,0.0033510674384958647,898.8719313161982,31.932831392779455
205,0.0036550560434827823,884.3013121604645,31.940980035754027
205,0.007379587022807008,753.343569094376,32.39798324902339
205,0.005538959214628027,807.2927834042582,32.10220194549875
205,0.00821398431742105,735.531535782433,32.555663526890086
205,0.0078027107776573405,743.8037827039383,32.4768595180309
205,0.010039415648518724,710.4325784089706,32.91624536834941
205,0.00774482801718142,745.0469186592591,32.46592134565264
205,0.005413327997049775,811.7296514479967,32.08610268289745
205,0.009215996476874223,719.4367893721186,32.75270440839537
205,0.009289980170468806,718.4735518953961,32.767394509712396
205,0.01012917287900953,709.6773139278407,32.934027464175834
205,0.009792156621224447,712.7419603856183,32.86718149717131
205,0.009447470442910702,716.5250316195213,32.798685451580845
205,0.009792165529724464,712.7418711142398,32.86718326649901
205,0.009495007959950431,715.9640673504722,32.808133429210564
205,0.009234234065942313,719.1964949745013,32.75632489305857
205,0.01065619993439877,706.1282724972401,33.0379728346408
205,0.010718074358825283,705.8102752836908,33.050111824565825
205,0.009234220113383842,719.1966780975488,32.756322123028966
205,0.009792165529724462,712.7418711142398,32.86718326649901
205,0.009234231420578928,719.1965296939984,32.75632436786921
