evolution$generation,economicMultiplier,sizeEffectOnSupply,sizeEffectOnDemand,distanceDecay,populationToWealthExponent,wealthToPopulationExponent,mselog,logmse
39732,0.11846230254857625,9.286865823850817,14.17237441133036,8.709652620074277,9.698650783615916,0.1,3245.1415313760535,31.834998810718435
39732,94.47323441770763,1.3961866994934629,2.2678698762016882,10.0,7.182255046255333,0.650051102272743,12762.874898273469,28.585302782608988
39732,2.6607538541271105,1.2258398445644891,3.193580318155847,10.0,8.613698165972146,0.6731603153119912,6349.102079501654,29.50810248023945
39732,1.5033137383222734,1.2034114755952305,3.688732302471934,9.999999999999998,7.653397010118023,0.6643105283803132,5592.827215506048,29.530560041394185
39732,44.64074237307284,1.3392627457151685,2.387814342797369,8.394891772073613,6.869025584605483,0.6624521321200497,10811.13610711132,28.9415432388747
39732,58.81113710050361,1.2803420390626,2.925663721905524,9.987298743051461,7.271045351150256,0.6911624134816238,10146.523052435055,28.94206814907567
39732,0.9523191214328277,1.1904114704806246,3.6729316722028615,9.896558960718364,7.651911751102373,0.6649888322200006,5263.776175198995,29.58759766587433
39732,1.4041174799115912,1.201811498255055,3.6555929528124094,9.99634818854913,7.653482706792751,0.6642243531226298,5550.381359124058,29.571716266213038
39732,0.5312167746424179,1.1936008495792685,3.667956575998203,10.0,7.646815354263286,0.6658835390423513,4898.7095011207375,30.060000960684917
39732,0.42102915070132974,1.184749551499594,3.6596287310702724,9.979973099326664,7.668168077054374,0.6617079777160845,4717.898814748343,30.138488280946255
39732,56.2055429441824,1.3810977640207498,2.2440055258661484,9.999345954269883,6.739237153142341,0.6485157086112454,12145.515995886362,28.60434931985035
39732,74.614181703171,1.3794747479457574,2.2552900573093373,9.939305219814878,7.081123077372009,0.6534816427080895,12364.701938766695,28.601856910725562
39732,0.18810794126738636,1.1975931189525184,2.785411381881942,7.16084829242353,3.004415369887433,0.6470333754223744,4397.298857991716,30.619456704954434
39732,0.6356262848460486,1.197749425550729,3.621934919432873,9.893410447899369,7.641488788246483,0.6648364141869404,4995.937321273055,29.866742943986598
39732,0.17182706753211277,1.1819587697793597,2.7337701452045073,6.791473473972081,3.3438681550921907,0.6452741856958164,4275.695259566966,30.83266554395088
39732,11.425824437272821,1.2580721150936593,3.0323659048353377,9.962754263655272,6.9869712471568395,0.679197126925425,8049.197647652249,29.155574142930327
39732,12.420387113277704,1.259378541772698,3.0309717171058543,9.984013319314155,6.982814029474407,0.6797792431905416,8149.52019845177,29.1401869057127
39732,14.590510900758114,1.2729127207719675,3.0236403342719216,9.997259194811184,7.46648465695873,0.6759264155969662,8448.878745007236,29.106277155953755
39732,13.288956147364702,1.2627207883077718,3.0307879131666042,9.997674453225507,6.952295438715581,0.6786900214594849,8247.47058897623,29.12419704723506
39732,10.318534096332733,1.2600498294600126,3.0492744804965435,9.999999346608133,7.398632373993658,0.6761952930263153,7950.670597203159,29.163404197511056
39732,44.678308538780385,1.3512052398441283,2.2772419093499647,10.0,6.919903275324125,0.6569160932185637,11587.491222698693,28.63240795481243
39732,5.2968545841868835,1.2535252308742941,3.1062998601921756,9.987191636359682,7.365239859850578,0.669335291526607,7178.512812190969,29.291119180532615
39732,41.88413281185651,1.3609394944218611,2.366786351894896,9.99639702828754,6.528950952530782,0.6521099688205477,11398.970262434823,28.668268144805445
39732,53.872514604531894,1.3464656324727005,2.4752506407376833,9.999973751330264,6.969903953664341,0.6622215690645316,11301.761527599348,28.69780590244339
39732,5.820207508032554,1.2521671985349574,3.093698641068436,9.996981737818217,7.478324169773821,0.671861456142816,7285.599164404482,29.271159059710325
39732,16.885009763439935,1.265788239786934,3.0144988839619247,9.999725912269472,8.856519029510883,0.6804062542783776,8544.169708194551,29.090943755193006
39732,9.869489136734378,1.2518941039835911,3.0520184332440814,9.986522654392326,7.442284844672983,0.6795486107460815,7853.841651229637,29.182465194939386
39732,0.7776795682011378,1.1861343281966183,3.668954566767938,9.980254986108703,7.683654631052564,0.6605982345616968,5111.991073191969,29.713752257292207
39732,43.76476531301645,1.34916400386311,2.30933477391037,9.997565430072786,6.791242221273634,0.6576886269732314,11491.942210206105,28.646082211066236
39732,22.231371309854772,1.2727459828483831,2.9971559916522934,10.0,7.01767063237803,0.6820280468563158,8901.896391599881,29.055663390587032
39732,56.830722770211835,1.276432470323165,2.934727359147292,9.996986484667962,7.3159779677510794,0.6924152748519595,10042.966239023759,28.95056383620607
39732,41.61543124152768,1.2714130383545688,2.9525925452307984,9.999944149832299,6.991205040836356,0.6905564011675708,9633.964664781271,28.9818323396486
39732,0.06774944013299224,1.0491583029852543,2.3928802031397196,5.5315479111424315,6.130688773691956,0.715166186261261,4011.5698174622125,31.44795047749229
39732,18.59096344241259,1.2674259743074114,3.010506460669892,9.974701355816691,6.986029961869629,0.6819409462981173,8638.011385559408,29.088476283802603
39732,39.89630079297902,1.2662680373583288,2.9549913097389995,10.0,6.979522257312012,0.6922009397188066,9537.276472678948,28.990308469688447
39732,28.706704139681033,1.2812454560104423,2.9794649753888782,10.0,6.756477409614426,0.6814883311878278,9274.834583996428,29.01539440323877
39732,0.07796811332567657,1.0450479347695623,2.3463259259581095,5.642116478456105,6.180036611800139,0.7145885603001209,4105.230628283414,31.40320882816115
39732,0.23875304200090158,1.2168299984118238,2.7904759078573256,7.123472064535151,2.505330105885059,0.6427511595840673,4499.388962877817,30.458149514463006
39732,54.14729005091513,1.3457107339560053,2.541743706010034,9.999981093721878,7.022135408141939,0.6621948632117223,11136.615330695322,28.703133034600096
