evolution$generation,growthRate,innovationWeight,gravityDecay,innovationDecay,mselog,logmse,evolution$samples
17823,0.04537318629851842,0.0033024424596486894,13679.334915458832,1683.2345574973328,18956.87546662475,50.62780970447607,48
17823,0.013522345225110456,0.0,19757.022410913643,12399.63169861255,20804.729433903874,33.30195883482581,43
17823,0.013573407616046924,0.0,18957.666264757452,13150.336674204147,20797.963416284052,33.30192487888926,12
17823,0.05,0.0,0.1,0.1,18552.225599625137,37.20926734190425,20
17823,0.022851954282479596,0.0,19961.41915171321,19083.405214319653,19771.6335479639,34.181741433999704,1
17823,0.01783231429039888,0.0,10556.813382229933,17586.881387736794,20278.413871675282,33.52995335295065,4
17823,0.019057986840043534,0.0,14971.324862794832,10217.1329206967,20144.58240836977,33.66687465189596,12
17823,0.017953701007132557,0.0,13492.135311972988,14122.635785065022,20264.857565491024,33.54244004272217,4
17823,0.02046810437717693,0.0,20000.0,0.1,19998.823745649537,33.847558206697855,22
17823,0.017715385330732195,0.0,19517.787990038592,20000.0,20291.535802359675,33.51817541940721,1
17823,0.020603482545425003,3.83064588144097E-8,15209.443485797145,3533.7644559929026,19985.283276971048,33.86597363139895,5
17823,0.026729199257201137,0.0,20000.0,12616.476541201644,19450.76788121544,34.73257577960585,25
17823,0.01759820179610125,0.0,8091.472651551229,12536.419210706747,20304.748954815022,33.506625099516555,7
17823,0.021709612464648913,0.0,15517.291692555249,1743.9395167284247,19877.55085055045,34.01899893498783,8
17823,0.02518599955671835,1.4883420465500546E-6,15012.286202704352,3754.693484334933,19571.563189337878,34.52211522297237,1
17823,0.017485895388631333,0.0,6802.66833908939,12853.89964143148,20317.471202920147,33.4957997012179,1
17823,0.021573855415293677,0.0,14964.875000813998,12857.213479968868,19890.496288761402,33.999893613676385,1
17823,0.019182229976060467,0.0,20000.0,0.1,20131.390582247295,33.68194847404335,3
17823,0.025344485638187936,0.0,20000.0,13515.895154392305,19558.697843720372,34.53864422416927,5
17823,0.029207947932875757,4.973620856285012E-7,15610.946203154379,8367.231943741044,19275.214421926023,35.06793339648989,10
17823,0.015315297654471741,0.0,10338.02265046762,130.2971210713444,20574.92683476384,33.34090862892194,3
17823,0.017370868878442115,0.0,7951.742246119857,12278.08761456015,20330.56163459185,33.48496612652383,12
17823,0.01807106951854793,0.0,15431.918345850117,14986.545200252229,20251.813645078124,33.55475784756439,10
17823,0.021850013607504094,4.612682714266405E-6,20000.0,0.1,19864.625825736686,34.04518003912893,3
17823,0.015417015345343227,0.0,14316.112858219474,14915.310586944712,20562.362215911722,33.34562458023223,12
17823,0.01521107783423249,7.459321125180407E-9,1419.5528706024957,12242.4886528466,20587.852474012303,33.336368891075885,1
17823,0.03530165036588226,0.0,7919.464787766596,2793.721425576,18932.97472058599,35.80347852510362,6
17823,0.025501753649441107,0.0,20000.0,12610.867146180355,19546.07450070627,34.560896119315615,29
17823,0.02655555762236099,2.691034578149791E-15,17612.20794566179,3950.655753791356,19463.90740641412,34.70852328219288,1
17823,0.03140067733930939,0.0,8613.317095293347,3691.875004974991,19137.90624918153,35.34483574621325,10
17823,0.021440938668080473,0.0,13183.69484164013,2119.8676031558402,19903.245392623794,33.98125683840479,1
17823,0.025026408816048458,0.0,19411.905121125554,4333.038784561504,19584.518507263743,34.4934896880588,8
17823,0.03161316971282669,0.0,20000.0,4344.778962642423,19125.469912098564,35.371019538300686,15
17823,0.016014904229100436,9.809726036216072E-9,6065.880518720974,9142.772668479534,20489.513554140016,33.378678783290184,2
17823,0.020340053722621865,1.3811121268659427E-6,16005.773044889609,14447.1353801335,20011.728216903102,33.83580080656299,1
17823,0.02472388219564148,0.0,19445.256104703858,4282.577162198762,19609.438786896677,34.450375919321445,8
17823,0.04526059104971501,0.0,0.1,509.4501712537026,18613.697170575866,36.800014162672326,1
17823,0.014543280449880874,0.0,19288.629617143884,13439.172161221832,20671.930070548755,33.3138881437227,12
17823,0.02009484786066223,0.0,20000.0,299.7567326420429,20036.56581018148,33.797912422441655,6
17823,0.02851058995245579,0.0,13852.397768283688,14361.812880029904,19322.354779971312,34.97422842686357,1
17823,0.02487746795323165,0.0,18364.354996323465,3119.784103563037,19596.743083903355,34.4722826012626,2
17823,0.021186304195354194,0.0,12240.190280966679,381.46131585729256,19927.87614420649,33.94576712441891,2
17823,0.020219163407901485,0.0,17352.075306374147,0.1,20023.92899593237,33.81432432891193,3
17823,0.015713419309566736,5.5976869836015565E-9,6114.9909435891495,9394.200696624057,20526.03336150627,33.36088750356385,4
17823,0.019519289945165903,0.0,15420.161708361182,16045.232374586081,20095.94484079597,33.723763689426875,2
17823,0.021311923439646233,2.4786320916488015E-10,13585.91178214934,13241.901126808341,19915.69100002355,33.96323927556509,11
17823,0.02977549568953878,0.0,19673.850521431792,2549.084633471982,19238.07137820491,35.139767142462844,3
17823,0.03118550691725829,0.0,19991.173539978092,71.31533042798549,19150.65331397336,35.31817496834775,1
17823,0.014918668055388773,0.0,14253.650794663961,10344.080779812619,20624.39946624327,33.32508157018724,19
17823,0.023436486114424795,0.0,16802.893791757975,202.70450743799813,19719.48994200638,34.26572331172943,1
17823,0.04459984338025903,0.0,21.170257329198144,0.1,18626.609351726896,36.74012857249337,7
17823,0.029579479188939158,0.0,20000.0,1205.4118740389213,19250.76512501927,35.11445386741677,13
17823,0.029399753691693616,0.0,17970.888728263897,0.1,19262.521486371763,35.09113456535136,3
17823,0.025659707206588923,0.0,20000.0,12580.447796088634,19533.491101393807,34.583191939677036,4
17823,0.043061648982153845,0.0,0.1,19344.723904785667,18660.980775999455,36.59772262940345,12
17823,0.02901606478480875,9.970149230322336E-9,19519.14367174051,0.1,19287.998492749564,35.04100052085667,4
17823,0.024200357145675387,0.0,11622.44440893719,19227.526558939764,19653.40448851004,34.375457396529455,7
17823,0.023298042124221742,2.2331742724678854E-10,13560.277456614387,13239.299215383953,19731.715810407404,34.24582036567161,7
17823,0.019973772037435087,8.430930950618144E-9,19808.39155264874,0.1,20048.93753360324,33.782055111788786,9
17823,0.015906524443252083,9.058930964584194E-9,5910.250270696481,8772.59247202825,20502.59199958638,33.37202477833397,1
17823,0.01501906389109646,0.0,5787.734166463716,969.7403515503636,20611.804503235388,33.32870041147687,1
17823,0.03258891624367678,0.0,20000.0,2789.615722094296,19070.2839335226,35.48942314182709,31
17823,0.025809384608165443,0.0,17562.96158307317,0.1,19521.654543882312,34.604268121741804,8
17823,0.015111566891033804,0.0,16282.859366759356,206.84646950742552,20600.243189076376,33.33226762589405,5
17823,0.035030146450445894,0.0,4386.035189348983,6492.6661228281355,18945.675645352505,35.77300467699635,4
17823,0.02596479479580844,0.0,19504.27523358879,18535.92578751598,19509.454443163777,34.62609634661699,11
17823,0.015520822650545222,7.001171811486867E-9,15921.56509816392,11918.942820940734,20549.590954646894,33.350724030864285,2
17823,0.026901396438954478,0.0,17678.950275551495,3917.4820696215447,19437.848157469816,34.756345747506664,1
17823,0.01397982610656613,0.0,6300.2542174841865,10190.48184766377,20744.578692176994,33.3039943857005,2
17823,0.019634550137915693,0.0,20000.0,19324.91455864204,20083.93820761482,33.73835111088315,19
17823,0.018683118130978362,4.4868159985829536E-7,14763.927443164375,17570.880773184737,20184.805119941477,33.62417441321694,2
17823,0.01709263514369222,0.0,15242.420737871742,15034.942847314434,20362.477899784924,33.45986161710857,7
17823,0.022295858256573996,0.0,16897.25588920576,45.994886342308554,19822.525322111578,34.102165776282405,3
17823,0.014823420793059162,0.0,16526.39209812466,12447.310057900391,20636.39402538139,33.32189199509449,5
17823,0.031832941329320685,0.0,20000.0,3907.7743688044998,19112.765780928617,35.39794931893915,3
17823,0.014641783738337877,0.0,12760.250317470749,10134.548015477569,20659.39089022366,33.31646808902959,2
17823,0.03557501605426351,0.0,1085.631223903303,8396.939130030647,18920.41583137177,35.833955128295564,3
17823,0.029960949483478324,0.0,20000.0,1052.019461727488,19226.184345060385,35.1636012285418,22
17823,0.02736479977278172,0.0,19684.525057385457,8431.419900044673,19403.62285347535,34.81989195723882,1
17823,0.03061109674056513,0.0,19846.855941516365,535.039637199232,19185.446902562064,35.246273057630084,9
17823,0.015612094714629593,6.172400006229624E-9,6244.054015276759,9334.497315680741,20538.404746386434,33.35542325991983,1
17823,0.039644021039165436,2.7265672424007404E-10,12853.690722363744,13619.042051159324,18759.792048721378,36.264838956654415,3
17823,0.016384980494328755,0.0,14322.44576961285,14351.596239940365,20445.275750606514,33.403518764179815,4
17823,0.027999506514675934,1.2612903018548613E-11,18011.222649028732,0.9717977124107422,19358.01905975964,34.905889111922946,1
17823,0.01581487337589268,0.0,17844.761061348025,12886.385047710884,20513.69543781629,33.36660714314557,2
17823,0.033363448030436414,0.0,14346.528293309728,3941.2260788043777,19028.69221232449,35.581312096864124,4
17823,0.045935702145749796,0.0,3901.2193000799293,20000.0,18601.63188329402,36.86043981439345,3
17823,0.038422436828448016,0.0,17043.867011828,752.8672275495921,18802.946877387545,36.139735768002716,6
17823,0.033587745099702776,0.0,14340.47076598843,3987.2927689558114,19017.008349830056,35.6075833355869,3
17823,0.026397365232380194,0.0,18441.39818314233,20000.0,19475.975650758213,34.686539856394035,1
17823,0.018476555084156167,0.0,14386.029262855931,8453.9434012418,20207.228446933914,33.59906417197557,5
17823,0.0272012018931744,0.0,19071.279221283832,1369.369631572961,19415.61546287313,34.797529325108925,1
17823,0.020730225250133207,2.324720622575242E-9,20000.0,148.8148857518736,19972.676111334058,33.88304348881833,5
17823,0.019749261323323816,4.836896759270384E-7,13054.52094052608,15636.85782016204,20072.05386761811,33.754841214678514,1
17823,0.028326045580523887,0.0,20000.0,0.1,19335.12458872689,34.94964716243556,7
17823,0.040000638784111225,0.0,14881.89437903481,1325.2671256917104,18747.98857531857,36.30072034769783,11
17823,0.027678452792020265,3.477682114572917E-13,11286.709238488509,15265.507897820606,19380.903913012724,34.86254259020272,1
17823,0.01939832550990278,2.5110395150036104E-16,19823.281406128775,2896.08275167623,20108.608228208497,33.70860822527704,1
17823,0.019858673235895075,1.878523849028005E-10,13247.52862146466,13214.402258203421,20060.75723913522,33.76710349204484,1
17823,0.01629089779985692,0.0,14355.899013907414,14366.86399925737,20456.460668383323,33.39688772488572,2
17823,0.04174578660324126,1.913984911543281E-6,8.271505963760251,7508.906448820798,18695.444363412487,36.489312861473095,4
17823,0.014445271162704094,0.0,9671.818070470712,7933.348200281258,20684.453824515964,33.31157321634031,1
17823,0.013719380198630138,0.0,20000.0,10769.3303765445,20778.69383799894,33.30218729125326,4
17823,0.0440540516135465,0.0,13183.133113782611,1840.914791266229,18638.108994928894,36.690088291789756,4
17823,0.030805008197571176,0.0,4417.450434621744,8682.778884317433,19173.576239666345,35.270665040146376,2
17823,0.014729840723066115,0.0,19170.54505514368,8314.538141015124,20648.221880878657,33.31898962254358,4
