evolution$generation,economicMultiplier,sizeEffectOnSupply,sizeEffectOnDemand,distanceDecay,mselog,logmse
31802,100.0,1.0000111249924988,1.005231678571722,3.692720712923637,1200.9121440692445,31.460684224855402
31802,99.99991979345454,1.0,1.1059913394354843,0.007792068842047056,442.00619084347414,31.919661988382465
31802,99.99872187286442,1.0005990984165252,1.0737237722819353,0.011715118032439548,458.5009353414717,31.889950022462816
31802,99.9988761255044,1.0000048403145478,1.0081292031052898,3.1404087183148177,1099.9028690574653,31.88993340602524
31802,99.99917759116181,1.0000005222462893,1.080488535086024,0.012527168932560333,450.9578050255814,31.891560723131807
31802,99.99900438082057,1.0000128002364232,1.0824446473260456,0.013205216513441306,449.51766653772154,31.892644507171294
31802,99.99913418292337,1.0006515573496337,1.0750398373769483,0.012725621403689928,457.11191768771704,31.89002143431628
31802,99.9971898095426,1.0000062230174787,1.0080524478444222,3.1403403238473344,1101.2583947984854,31.873073892804886
31802,99.9951221154065,1.0003889515836821,1.0758758044681729,0.011706714150115502,455.7445816533141,31.890109310053496
31802,99.99730151884083,1.0,1.0841478523359305,0.009363168390545833,448.1569513253518,31.89380662095514
31802,99.99763251201807,1.0,1.0922759561029396,0.012219233185698303,444.29535485207754,31.90100166461858
31802,99.99737057336418,1.000005173246622,1.007976465268069,3.1403589703968167,1102.5854130604644,31.857005999917728
31802,99.99247594681545,1.0000139230447804,1.005410845623385,3.661504129247595,1194.572365781122,31.463709715152252
31802,99.99331420686146,1.0001200599886901,1.0768816382770803,0.012725661631621754,454.4078272972356,31.890318807912482
31802,99.99724326232806,1.0000028862080004,1.0893697208873412,0.0,445.6731137861063,31.900838416432627
31802,99.993143723084,1.0000122038174273,1.0053936876670828,3.6774441655852903,1195.8890240028072,31.462473080369907
31802,99.99981175371082,1.0000107629841382,1.0076451198958583,3.1402952612427026,1108.7542873519308,31.788202437411993
31802,100.0,1.0000165694616172,1.0070441478380867,3.142248907790152,1120.9646133715235,31.67811400523935
31802,99.99182552354118,1.0000141433234526,1.0054049084904093,3.7019130921790335,1197.1232107724325,31.46181026619099
31802,99.99982676648276,1.0000004553629407,1.006968406618529,3.141963502662868,1122.2238081149428,31.668506556891856
31802,99.99996075639731,1.000000394580513,1.0069194119529314,3.1448536088201666,1123.48431381492,31.6596058712393
31802,99.9647422128775,1.0000167521754522,1.0079179942780083,3.140658990306757,1103.875842451412,31.842262273621134
31802,99.99995855396968,1.0000003538929279,1.0070859536787065,3.141551047534578,1119.699530174312,31.687738715707855
31802,100.0,1.0000199421489957,1.006873969763763,3.142534982706956,1124.7394861512016,31.65092227253592
